Epoch     Train Acc      Val Acc        Train Loss     Val Loss       
============================================================
1         0.0009         0.0009         13.8096        13.5835        
2         0.0012         0.0003         10.4310        10.2760        
3         0.0016         0.0009         8.2243         8.2117         
4         0.0020         0.0013         7.3805         7.5899         
5         0.0022         0.0019         6.9976         6.9881         
6         0.0035         0.0037         6.7518         7.4223         
7         0.0061         0.0073         6.5344         6.4171         
8         0.0122         0.0174         6.2643         6.1336         
9         0.0257         0.0465         5.9248         5.7018         
10        0.0506         0.0906         5.5643         5.2844         
11        0.0806         0.1273         5.2170         4.9773         
12        0.1223         0.1451         4.8774         4.7665         
13        0.1751         0.2032         4.5766         4.4257         
14        0.2223         0.2381         4.3097         4.2507         
15        0.2757         0.2617         4.0661         4.1841         
16        0.3325         0.3139         3.8415         3.9211         
17        0.3779         0.3272         3.6566         3.8620         
18        0.4217         0.3385         3.4919         3.8620         
19        0.4628         0.3435         3.3501         3.7882         
20        0.4920         0.3616         3.2333         3.6959         
21        0.5229         0.3762         3.1333         3.6547         
22        0.5491         0.3722         3.0374         3.6560         
23        0.5669         0.3889         2.9666         3.5985         
24        0.5887         0.4050         2.8868         3.5219         
25        0.6027         0.4201         2.8261         3.4557         
26        0.6145         0.4209         2.7706         3.4610         
27        0.6194         0.4300         2.7291         3.4063         
28        0.6302         0.4416         2.6914         3.3642         
29        0.6330         0.4449         2.6604         3.3573         
30        0.6357         0.4323         2.6323         3.4146         
31        0.6407         0.4181         2.6035         3.4754         
32        0.6438         0.4449         2.5827         3.3717         
33        0.6537         0.4759         2.5337         3.2120         
34        0.6611         0.4716         2.4810         3.1952         
35        0.6636         0.4758         2.4475         3.1867         
36        0.6633         0.4765         2.4288         3.1501         
37        0.6647         0.4814         2.4091         3.1559         
38        0.6652         0.4775         2.3963         3.1575         
39        0.6637         0.4705         2.3892         3.1894         
40        0.6659         0.4833         2.3740         3.1189         
41        0.6674         0.4888         2.3547         3.1116         
42        0.6674         0.4897         2.3415         3.1131         
43        0.6680         0.4814         2.3284         3.1403         
44        0.6678         0.4848         2.3206         3.1282         
45        0.6687         0.4894         2.3104         3.1066         
46        0.6688         0.4873         2.2996         3.1109         
47        0.6688         0.4875         2.2925         3.1131         
48        0.6684         0.4856         2.2852         3.1178         
49        0.6681         0.4912         2.2797         3.0928         
50        0.6690         0.4906         2.2718         3.0965         

Average Training Accuracy: 0.4460
Average Validation Accuracy: 0.3303
